id,grade,grade_suffix,coating,finish,surface_type,surface_protection,form,thickness_min,thickness_max,width_min,width_max,length_min,height_min,height_max,weight_min,weight_max,inner_diameter_min,inner_diameter_max,outer_diameter_min,outer_diameter_max,yield_strength_min,yield_strength_max,tensile_strength_min,tensile_strength_max,grade_norm,Grade/Material,UNS_No,Steel_No,Standards,Carbon (C),Manganese (Mn),Silicon (Si),Sulfur (S),Phosphorus (P),Chromium (Cr),Nickel (Ni),Molybdenum (Mo),Vanadium (V),Tungsten (W),Cobalt (Co),Copper (Cu),Aluminum (Al),Titanium (Ti),Niobium (Nb),Boron (B),Nitrogen (N),Tensile strength (Rm),Yield strength (Re or Rp0.2),Elongation (A%),Reduction of area (Z%),"Hardness (HB, HV, HRC)",Impact toughness (Charpy V-notch),Fatigue limit,Creep resistance,Source_Pages,Application,Category,Nb + V + Ti (Others),Coating,Carbon (C)_min,Carbon (C)_max,Carbon (C)_mid,Manganese (Mn)_min,Manganese (Mn)_max,Manganese (Mn)_mid,Silicon (Si)_min,Silicon (Si)_max,Silicon (Si)_mid,Sulfur (S)_min,Sulfur (S)_max,Sulfur (S)_mid,Phosphorus (P)_min,Phosphorus (P)_max,Phosphorus (P)_mid,Tensile strength (Rm)_min,Tensile strength (Rm)_max,Tensile strength (Rm)_mid,Yield strength (Re or Rp0.2)_min,Yield strength (Re or Rp0.2)_max,Yield strength (Re or Rp0.2)_mid,missing_ref,cluster,pca1,pca2
8aff426d-b8c0-43aa-ad26-835ef4de6129,S700MC,,,Oiled,,,Coils,6.0,6.0,600.0,1520.0,,,,15000.0,25000.0,610.0,610.0,,,,,760.0,810.0,s700mc,S700MC,,,EN 10149-2:2013,≤0.12,≤2.10,≤0.60,≤0.015,≤0.025,,,,≤0.20,,,,≥0.015,≤0.15,≤0.09,,,750-950 MPa,≥700 MPa,≥12%,,,,,,Standard Specifications,"Cold forming, automotive, high strength applications",Microalloyed Steel,≤0.22,,0.12,0.12,0.12,2.1,2.1,2.1,0.6,0.6,0.6,0.015,0.015,0.015,0.025,0.025,0.025,750.0,950.0,850.0,700.0,700.0,700.0,False,1,3.4633140992868987,-0.290365928532744
37e624be-b125-464f-85b6-1838530193ef,S250GD,,ZM310,Hot-dip zinc magnesium (+ZM),,,Slit Coils,1.5,1.5,327.0,327.0,,,,,,,,,,,,,,s250gd,S250GD,,,EN 10346:2015,≤0.25,≤1.20,,≤0.045,≤0.120,,,,,,,,≥0.010,,,,,330-510 MPa,≥250 MPa,≥19%,,,,,,Standard Specifications,Structural galvanized steel,Galvanized Steel,,Hot-dip galvanized,0.25,0.25,0.25,1.2,1.2,1.2,,,,0.045,0.045,0.045,0.12,0.12,0.12,330.0,510.0,420.0,250.0,250.0,250.0,False,2,-0.6080870035934507,2.300031533472831
b8257184-6307-46ab-b06e-d979336d1263,DX51D,,Z100,Hot-dip Galvanized (+Z/+GI),,Lightly Oiled (L),Coils,0.4,0.4,1000.0,1500.0,,,,,,,,,,,,,,dx51d,DX51D,,,EN 10346:2015,≤0.12,≤0.60,,≤0.045,≤0.120,,,,,,,,≥0.010,,,,,270-500 MPa,≤350 MPa,≥22%,,,,,,Standard Specifications,Galvanized steel for forming,Galvanized Steel,,Hot-dip galvanized,0.12,0.12,0.12,0.6,0.6,0.6,,,,0.045,0.045,0.045,0.12,0.12,0.12,270.0,500.0,385.0,350.0,350.0,350.0,False,2,-1.4244210987842516,2.125387612333004
63140d1f-dda8-40fe-8931-bcaba65d5772,S235,,,,,,Round Tubes,1.5,1.5,,,4900.0,4900.0,,53800.0,53800.0,,,60.3,,,,,,s235,S235,,,EN 10025-2:2019,≤0.17,≤1.40,≤0.40,≤0.035,≤0.035,,,,,,,,,,,,≤0.012,360-510 MPa,≥235 MPa,≥26%,,,,,,Standard Specifications,General structural steel,Structural Steel,,,0.17,0.17,0.17,1.4,1.4,1.4,0.4,0.4,0.4,0.035,0.035,0.035,0.035,0.035,0.035,360.0,510.0,435.0,235.0,235.0,235.0,False,4,0.5413549084623881,-0.3780550643803598
11cffc57-44be-4d79-bfd5-97482be566d3,S235,,,,,,Round Tubes,1.5,1.5,,,6100.0,6100.0,,14500.0,14500.0,,,48.3,,,,,,s235,S235,,,EN 10025-2:2019,≤0.17,≤1.40,≤0.40,≤0.035,≤0.035,,,,,,,,,,,,≤0.012,360-510 MPa,≥235 MPa,≥26%,,,,,,Standard Specifications,General structural steel,Structural Steel,,,0.17,0.17,0.17,1.4,1.4,1.4,0.4,0.4,0.4,0.035,0.035,0.035,0.035,0.035,0.035,360.0,510.0,435.0,235.0,235.0,235.0,False,4,0.5413549084623881,-0.3780550643803598
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,S235,,,,,,Round Tubes,1.5,1.5,,,6200.0,6200.0,,34000.0,34000.0,,,20.0,,,,,,s235,S235,,,EN 10025-2:2019,≤0.17,≤1.40,≤0.40,≤0.035,≤0.035,,,,,,,,,,,,≤0.012,360-510 MPa,≥235 MPa,≥26%,,,,,,Standard Specifications,General structural steel,Structural Steel,,,0.17,0.17,0.17,1.4,1.4,1.4,0.4,0.4,0.4,0.035,0.035,0.035,0.035,0.035,0.035,360.0,510.0,435.0,235.0,235.0,235.0,False,4,0.5413549084623881,-0.3780550643803598
973d80a1-f1b8-461b-bb25-7d8852968b1c,DX51D,,Z075,Hot-dip Galvanized (+Z/+GI),,,Rectangular Tubes,2.0,2.0,60.0,60.0,9000.0,9000.0,80.0,,,,,,,,,,,dx51d,DX51D,,,EN 10346:2015,≤0.12,≤0.60,,≤0.045,≤0.120,,,,,,,,≥0.010,,,,,270-500 MPa,≤350 MPa,≥22%,,,,,,Standard Specifications,Galvanized steel for forming,Galvanized Steel,,Hot-dip galvanized,0.12,0.12,0.12,0.6,0.6,0.6,,,,0.045,0.045,0.045,0.12,0.12,0.12,270.0,500.0,385.0,350.0,350.0,350.0,False,2,-1.3878773320572126,2.130075754285021
8fe87807-dae8-4341-94fd-2ab91f176464,DX51D,,Z080,Hot-dip Galvanized (+Z/+GI),,,Rectangular Tubes,2.0,2.0,60.0,60.0,9000.0,9000.0,80.0,,,,,,,,,,,dx51d,DX51D,,,EN 10346:2015,≤0.12,≤0.60,,≤0.045,≤0.120,,,,,,,,≥0.010,,,,,270-500 MPa,≤350 MPa,≥22%,,,,,,Standard Specifications,Galvanized steel for forming,Galvanized Steel,,Hot-dip galvanized,0.12,0.12,0.12,0.6,0.6,0.6,,,,0.045,0.045,0.045,0.12,0.12,0.12,270.0,500.0,385.0,350.0,350.0,350.0,False,2,-1.3875871403541524,2.1298067967441283
c18a7f01-1cb6-4987-a2cc-93251d3719b9,DX51D,,,,,,Round Tubes,2.5,2.5,,,3300.0,3300.0,,,,,,25.0,,,,,,dx51d,DX51D,,,EN 10346:2015,≤0.12,≤0.60,,≤0.045,≤0.120,,,,,,,,≥0.010,,,,,270-500 MPa,≤350 MPa,≥22%,,,,,,Standard Specifications,Galvanized steel for forming,Galvanized Steel,,Hot-dip galvanized,0.12,0.12,0.12,0.6,0.6,0.6,,,,0.045,0.045,0.045,0.12,0.12,0.12,270.0,500.0,385.0,350.0,350.0,350.0,False,2,-1.2192620457019496,1.8087711608444768
0777b4fd-292a-439b-848f-d772ee28c3b8,DX51D,,,,,,Equal Angles,1.5,1.5,35.0,35.0,8000.0,8000.0,,,,,,,,,,,,dx51d,DX51D,,,EN 10346:2015,≤0.12,≤0.60,,≤0.045,≤0.120,,,,,,,,≥0.010,,,,,270-500 MPa,≤350 MPa,≥22%,,,,,,Standard Specifications,Galvanized steel for forming,Galvanized Steel,,Hot-dip galvanized,0.12,0.12,0.12,0.6,0.6,0.6,,,,0.045,0.045,0.045,0.12,0.12,0.12,270.0,500.0,385.0,350.0,350.0,350.0,False,2,-1.2197742971700885,1.8079621349459027
